CustomerID,Age,Location,TotalPurchases,LastPurchaseDate,LifetimeValue,Contacted,PurchaseProbability
1,62,West,1,2024-04-03 20:45:50.861423,1898.15,Yes,0.49
2,65,South,5,2023-07-28 20:45:50.861434,5172.7,Yes,0.98
3,18,South,4,2024-05-25 20:45:50.861437,5846.43,Yes,0.24
4,21,South,14,2024-02-04 20:45:50.861440,7896.67,No,0.37
5,21,North,12,2024-02-09 20:45:50.861442,6104.11,Yes,0.05
6,57,South,14,2023-12-18 20:45:50.861444,2262.19,Yes,0.31
7,27,South,14,2023-10-03 20:45:50.861447,4606.17,No,0.83
8,37,South,12,2023-07-21 20:45:50.861450,8800.81,Yes,0.81
9,39,West,17,2024-05-21 20:45:50.861454,4973.46,Yes,0.64
10,68,North,15,2024-04-11 20:45:50.861457,7184.06,Yes,0.37
11,54,West,17,2023-09-10 20:45:50.861459,4912.98,No,0.31
12,41,South,2,2024-04-01 20:45:50.861461,7114.63,Yes,0.8
13,24,East,9,2024-01-11 20:45:50.861464,5031.59,No,0.07
14,42,North,1,2023-12-15 20:45:50.861466,8461.05,Yes,0.68
15,42,South,5,2023-07-24 20:45:50.861468,2023.99,Yes,0.38
16,30,East,7,2023-08-09 20:45:50.861471,7755.93,Yes,0.63
17,19,North,14,2024-06-05 20:45:50.861473,9745.16,Yes,0.93
18,56,East,8,2023-12-07 20:45:50.861476,8636.87,No,0.85
19,57,North,16,2024-03-20 20:45:50.861478,7826.22,No,0.5
20,41,South,10,2024-05-01 20:45:50.861481,9851.82,No,0.43
21,64,West,19,2024-06-17 20:45:50.861483,7560.34,Yes,0.82
22,42,East,9,2024-03-19 20:45:50.861486,140.08,Yes,0.74
23,35,East,16,2024-01-21 20:45:50.861488,2767.85,No,0.45
24,55,South,12,2024-03-31 20:45:50.861490,4163.87,No,0.97
25,43,North,7,2024-06-09 20:45:50.861493,4339.42,Yes,0.36
26,31,West,16,2024-03-09 20:45:50.861495,3048.63,No,0.4
27,26,South,2,2023-12-25 20:45:50.861497,4071.21,No,0.74
